S.l. 1 37.3989094 -122.0711831
s.l. 71 37.3989094 -122.0711831
"s. l." 1 37.3989094 -122.0711831
"Winnipeg, Man." 29 49.895136 -97.13837439999999
"Zurich, Suisse" 3 47.3768866 8.541694
"[Lodz, Poland]" 1 51.7592485 19.4559833
"[London, Ont.]" 1 42.9849233 -81.2452768
"Albuquerque, NM" 2 35.0853336 -106.6055534
"Antibes, France" 1 43.58041799999999 7.125102
"Barcelona Spain" 2 41.3850639 2.1734035
"Berlin, Germany" 1 52.52000659999999 13.404954
"Bourges, France" 1 47.081012 2.398782
"Bélem, Brésil" 1 -1.4557794 -48.4901968
"Cambridge, Ont." 2 43.3616211 -80.3144276
"Charlemagne, Qc" 2 45.7249153 -73.49132399999999
"Edmonton, Alta." 1 53.544389 -113.4909267
"Fredericton, NB" 6 45.9635895 -66.6431151
"Genève, Suisse" 2 46.2043907 6.1431577
"Kitchener, Ont." 5 43.450301 -80.48319169999999
"Kleinburg, Ont." 1 43.8385021 -79.62354069999999
"Lennoxville, Qc" 3 45.3677271 -71.8563636
"Lethbridge Alta" 1 49.69349 -112.84184
"Limoges, France" 6 45.83361900000001 1.261105
"Lleida, Espagne" 1 41.6175899 0.6200146
"London, England" 41 51.5073509 -0.1277583
"Lorient, France" 1 47.7482524 -3.3702449
"Los Angeles, CA" 6 34.0522342 -118.2436849
"Minneapolis, MN" 1 44.977753 -93.2650108
"Munich, Germany" 2 48.1351253 11.5819806
"North Adams, MA" 1 42.70091499999999 -73.1087148
"North Bay, Ont." 2 46.3091152 -79.4608204
"Odense, Denmark" 3 55.40375599999999 10.40237
"Palermo, Italie" 1 38.1156879 13.3612671
"Quimper, France" 1 47.997542 -4.097899
"Saint Louis, MO" 1 38.6270025 -90.19940419999999
"Spoleto, Italie" 1 42.7404881 12.7378003
"Stratford, Ont." 1 43.3700007 -80.98222860000001
"Valence, France" 1 44.933393 4.89236
"Vienna, Austria" 1 48.2081743 16.3738189
"Zagreb, Croatia" 1 45.8150108 15.981919
"[Montréal, Qc]" 3 45.5016889 -73.567256
"[Vancouver, BC]" 1 49.2827291 -123.1207375
"Antwerp, Belgium" 2 51.2194475 4.4024643
"Barcelona, Spain" 3 41.3850639 2.1734035
"Bordeaux, France" 4 44.837789 -0.57918
"Bretagne, France" 1 48.2020471 -2.9326435
"Bristol, England" 1 51.454513 -2.58791
"Burlington, Ont." 2 43.3255196 -79.7990319
"Cavriago, Italie" 1 44.6923476 10.523885
"Chartres, France" 1 48.44385399999999 1.489012
"Chesterville, Qc" 1 45.95552259999999 -71.7613408
"Cologne, Germany" 1 50.937531 6.9602786
"Fribourg, Suisse" 2 46.8064773 7.161971899999999
"Grenoble, France" 6 45.188529 5.724524
"Lausanne, Suisse" 1 46.5196535 6.6322734
"Lethbridge, Alta" 17 49.69349 -112.84184
"Marseille France" 1 43.296482 5.36978
"Moose Jaw, Sask." 1 50.3915811 -105.5348562
"New Brunswick NJ" 1 40.4862157 -74.4518188
"North York, Ont." 7 43.7615377 -79.41107939999999
"Owen Sound, Ont." 2 44.5690305 -80.9405602
"Philadelphia, PA" 3 39.9525839 -75.1652215
"Santa Monica, CA" 1 34.0194543 -118.4911912
"Saskatoon, Sask." 14 52.1332144 -106.6700458
"St. John's, Nfld" 3 47.5615096 -52.7125768
"Toulouse, France" 1 43.604652 1.444209
"Tourcoing France" 1 50.724993 3.16207
"Vienne, Autriche" 1 48.2081743 16.3738189
"Willowdale, Ont." 1 43.7711708 -79.4197497
"[Montréal, Qc?]" 2 45.5016889 -73.567256
"Aigremont, France" 1 43.965811 4.122561
"Berlin, Allemagne" 4 52.52000659999999 13.404954
"Bradford, England" 1 53.795984 -1.759398
"Brussels, Belguim" 1 50.8503463 4.3517211
"Brême, Allemagne" 1 53.07929619999999 8.8016937
"Cherbourg, France" 1 49.6337308 -1.622137
"Curitiba, Brésil" 1 -25.4289541 -49.267137
"Drummondville, Qc" 3 45.8802909 -72.4842824
"Glasgow, Scotland" 1 55.864237 -4.251806
